10070 1 	 [(10070,2)0.710120] 	 [(10009,2)0.953977] 	 0.744379 	 1
10281 1 	 [(10281,2)0.779307] 	 [(10409,2)0.958736] 	 0.812848 	 1
10117 1 	 [(10117,2)0.952632] 	 [(10564,2)0.945671] 	 1.007361 	 0
10049 1 	 [(10049,2)0.991848] 	 [(10796,2)0.959866] 	 1.033319 	 0
10284 1 	 [(10284,2)0.710714] 	 [(20537,2)0.939210] 	 0.756715 	 1
10064 1 	 [(10064,2)0.989019] 	 [(10489,2)0.949752] 	 1.041344 	 0
10055 1 	 [(10055,2)0.934694] 	 [(10762,2)0.959365] 	 0.974284 	 1
10014 1 	 [(10014,2)0.657885] 	 [(20835,2)0.956873] 	 0.687536 	 1
10042 1 	 [(10042,2)0.845679] 	 [(11265,2)0.948864] 	 0.891254 	 1
10276 1 	 [(10276,2)0.822715] 	 [(21219,2)0.928876] 	 0.885710 	 1
10300 1 	 [(10300,2)0.774713] 	 [(10014,2)0.934938] 	 0.828625 	 1
10007 1 	 [(10007,2)0.922300] 	 [(11205,2)0.953824] 	 0.966950 	 1
10149 1 	 [(10149,2)0.980769] 	 [(11136,2)0.967179] 	 1.014051 	 0
10027 1 	 [(10027,2)0.674775] 	 [(21223,2)0.914530] 	 0.737838 	 1
10039 1 	 [(10039,2)0.996719] 	 [(11320,2)0.955076] 	 1.043602 	 0
10035 1 	 [(10035,2)0.557598] 	 [(10784,2)0.903571] 	 0.617105 	 1
10131 1 	 [(10131,2)0.526316] 	 [(11324,2)0.943750] 	 0.557686 	 1
10069 1 	 [(10069,2)0.975758] 	 [(10784,2)0.944589] 	 1.032997 	 0
10031 1 	 [(10031,2)0.520395] 	 [(10714,2)0.964181] 	 0.539727 	 1
10054 1 	 [(10054,2)0.996078] 	 [(20535,2)0.977500] 	 1.019006 	 0
10016 1 	 [(10016,2)0.896175] 	 [(20558,2)0.972614] 	 0.921409 	 1
10280 1 	 [(10280,2)0.925199] 	 [(10708,2)0.959855] 	 0.963895 	 1
10297 1 	 [(10297,2)0.987692] 	 [(10276,2)0.952632] 	 1.036803 	 0
10101 1 	 [(10101,2)0.486631] 	 [(20680,2)0.939951] 	 0.517720 	 1
10282 1 	 [(10282,2)0.560799] 	 [(10103,2)0.928810] 	 0.603782 	 1
10105 1 	 [(10105,2)0.988914] 	 [(20009,2)0.963636] 	 1.026232 	 0
10009 1 	 [(10009,2)0.633333] 	 [(20832,2)0.925620] 	 0.684226 	 1
10146 1 	 [(10146,2)0.573647] 	 [(10064,2)0.970398] 	 0.591146 	 1
10071 1 	 [(10071,2)0.766900] 	 [(10009,2)0.953977] 	 0.803898 	 1
10103 1 	 [(10103,2)0.555444] 	 [(11251,2)0.933333] 	 0.595119 	 1
10301 1 	 [(10301,2)0.591398] 	 [(20706,2)0.973418] 	 0.607548 	 1
10046 1 	 [(10046,2)0.685646] 	 [(10602,2)0.942918] 	 0.727153 	 1
10062 1 	 [(10062,2)0.987879] 	 [(10856,2)0.947090] 	 1.043068 	 0
10060 1 	 [(10060,2)0.981117] 	 [(10101,2)0.965909] 	 1.015745 	 0
10021 1 	 [(10021,2)0.711712] 	 [(21087,2)0.884259] 	 0.804868 	 1
10287 1 	 [(10287,2)0.509215] 	 [(20028,2)0.952512] 	 0.534602 	 1
10002 1 	 [(10002,2)0.877759] 	 [(20009,2)0.935484] 	 0.938294 	 1
10089 1 	 [(10089,2)0.956541] 	 [(10409,2)0.922300] 	 1.037126 	 0
10032 1 	 [(10032,2)0.923195] 	 [(10412,2)0.923150] 	 1.000049 	 0
10304 1 	 [(10304,2)0.956667] 	 [(10682,2)0.974359] 	 0.981842 	 1
10023 1 	 [(10023,2)0.921061] 	 [(11257,2)0.951644] 	 0.967863 	 1
10148 1 	 [(10148,2)0.994029] 	 [(10436,2)0.965499] 	 1.029549 	 0
10001 1 	 [(10001,2)0.658537] 	 [(20282,2)0.958789] 	 0.686842 	 1
10133 1 	 [(10133,2)0.978365] 	 [(10030,2)0.960784] 	 1.018299 	 0
10040 1 	 [(10040,2)0.967480] 	 [(10921,2)0.909091] 	 1.064228 	 0
10048 1 	 [(10048,2)0.991689] 	 [(10636,2)0.933388] 	 1.062462 	 0
10030 1 	 [(10030,2)0.377647] 	 [(10276,2)0.872632] 	 0.432768 	 1
10118 1 	 [(10118,2)0.976744] 	 [(10613,2)0.941860] 	 1.037037 	 0
10051 1 	 [(10051,2)0.994847] 	 [(20103,2)0.978480] 	 1.016727 	 0
10130 1 	 [(10130,2)0.582979] 	 [(20863,2)0.940441] 	 0.619900 	 1
10531 1 	 [(10531,2)0.988304] 	 [(10714,2)0.951267] 	 1.038934 	 0
10546 1 	 [(10546,2)0.651306] 	 [(10784,2)0.955495] 	 0.681642 	 1
10435 1 	 [(10435,2)0.643636] 	 [(11265,2)0.955923] 	 0.673314 	 1
10328 1 	 [(10328,2)0.965986] 	 [(20105,2)0.953618] 	 1.012970 	 0
10392 1 	 [(10392,2)0.979066] 	 [(10904,2)0.971972] 	 1.007299 	 0
10486 1 	 [(10486,2)0.996153] 	 [(10979,2)0.975327] 	 1.021353 	 0
10527 1 	 [(10527,2)0.800000] 	 [(10027,2)0.951351] 	 0.840909 	 1
10412 1 	 [(10412,2)0.933824] 	 [(10130,2)0.952128] 	 0.980776 	 1
10319 1 	 [(10319,2)0.319444] 	 [(10042,2)0.976190] 	 0.327235 	 1
10325 1 	 [(10325,2)0.994508] 	 [(21278,2)0.975023] 	 1.019984 	 0
10323 1 	 [(10323,2)0.954545] 	 [(10300,2)0.961212] 	 0.993064 	 1
10543 1 	 [(10543,2)0.863415] 	 [(10035,2)0.931933] 	 0.926478 	 1
10453 1 	 [(10453,2)0.988600] 	 [(11265,2)0.954898] 	 1.035294 	 0
10495 1 	 [(10495,2)0.986762] 	 [(10549,2)0.981447] 	 1.005415 	 0
10489 1 	 [(10489,2)0.534615] 	 [(10395,2)0.945799] 	 0.565252 	 1
10520 1 	 [(10520,2)0.946711] 	 [(10512,2)0.938636] 	 1.008603 	 0
10521 1 	 [(10521,2)0.623882] 	 [(10944,2)0.959936] 	 0.649920 	 1
10559 1 	 [(10559,2)0.993311] 	 [(10706,2)0.966712] 	 1.027515 	 0
10413 1 	 [(10413,2)0.893939] 	 [(11251,2)0.935354] 	 0.955723 	 1
10485 1 	 [(10485,2)0.885811] 	 [(10300,2)0.946667] 	 0.935716 	 1
10331 1 	 [(10331,2)0.827059] 	 [(10485,2)0.957075] 	 0.864153 	 1
10409 1 	 [(10409,2)0.961039] 	 [(20939,2)0.927083] 	 1.036627 	 0
10382 1 	 [(10382,2)0.979592] 	 [(10771,2)0.875000] 	 1.119534 	 0
10454 1 	 [(10454,2)0.574468] 	 [(20454,2)0.786750] 	 0.730179 	 1
10602 1 	 [(10602,2)0.986532] 	 [(20712,2)0.928889] 	 1.062056 	 0
10509 1 	 [(10509,2)0.328111] 	 [(10662,2)0.931239] 	 0.352338 	 1
10436 1 	 [(10436,2)0.578022] 	 [(20146,2)0.942308] 	 0.613411 	 1
10378 1 	 [(10378,2)0.977358] 	 [(10822,2)0.909910] 	 1.074126 	 0
10441 1 	 [(10441,2)0.609992] 	 [(10664,2)0.967647] 	 0.630387 	 1
10306 1 	 [(10306,2)0.650624] 	 [(10935,2)0.958281] 	 0.678949 	 1
10431 1 	 [(10431,2)0.693627] 	 [(10520,2)0.946711] 	 0.732670 	 1
10487 1 	 [(10487,2)0.992318] 	 [(20149,2)0.976051] 	 1.016666 	 0
10549 1 	 [(10549,2)0.915249] 	 [(20843,2)0.969639] 	 0.943907 	 1
10396 1 	 [(10396,2)0.365912] 	 [(10636,2)0.960526] 	 0.380950 	 1
10566 1 	 [(10566,2)0.995586] 	 [(10825,2)0.965678] 	 1.030971 	 0
10455 1 	 [(10455,2)0.663889] 	 [(11257,2)0.953977] 	 0.695917 	 1
10474 1 	 [(10474,2)0.986147] 	 [(10300,2)0.975253] 	 1.011170 	 0
10446 1 	 [(10446,2)0.987250] 	 [(10771,2)0.967213] 	 1.020716 	 0
10533 1 	 [(10533,2)0.540441] 	 [(10520,2)0.937307] 	 0.576589 	 1
10583 1 	 [(10583,2)0.877561] 	 [(10758,2)0.959661] 	 0.914449 	 1
10613 1 	 [(10613,2)0.665116] 	 [(10130,2)0.916378] 	 0.725810 	 1
10581 1 	 [(10581,2)0.628788] 	 [(10758,2)0.971171] 	 0.647453 	 1
10519 1 	 [(10519,2)0.937343] 	 [(20939,2)0.951389] 	 0.985236 	 1
10395 1 	 [(10395,2)0.675662] 	 [(10624,2)0.949341] 	 0.711717 	 1
10575 1 	 [(10575,2)0.684556] 	 [(10509,2)0.940659] 	 0.727741 	 1
10329 1 	 [(10329,2)0.863568] 	 [(10300,2)0.956463] 	 0.902877 	 1
10443 1 	 [(10443,2)0.962326] 	 [(10300,2)0.937209] 	 1.026800 	 0
10512 1 	 [(10512,2)0.778355] 	 [(10030,2)0.931933] 	 0.835205 	 1
10564 1 	 [(10564,2)0.749722] 	 [(20454,2)0.921630] 	 0.813474 	 1
10398 1 	 [(10398,2)0.758689] 	 [(10396,2)0.957722] 	 0.792181 	 1
10652 1 	 [(10652,2)0.952539] 	 [(11324,2)0.962016] 	 0.990149 	 1
10848 1 	 [(10848,2)0.988290] 	 [(10030,2)0.946218] 	 1.044463 	 0
10680 1 	 [(10680,2)0.919548] 	 [(11257,2)0.942472] 	 0.975677 	 1
10627 1 	 [(10627,2)0.994709] 	 [(21294,2)0.959742] 	 1.036434 	 0
10844 1 	 [(10844,2)0.605429] 	 [(11257,2)0.948347] 	 0.638405 	 1
10853 1 	 [(10853,2)0.991864] 	 [(10436,2)0.960775] 	 1.032358 	 0
10754 1 	 [(10754,2)0.971198] 	 [(10564,2)0.943548] 	 1.029304 	 0
10820 1 	 [(10820,2)0.973136] 	 [(10009,2)0.946711] 	 1.027912 	 0
10756 1 	 [(10756,2)0.995669] 	 [(21328,2)0.972421] 	 1.023907 	 0
10722 1 	 [(10722,2)0.994129] 	 [(10771,2)0.980369] 	 1.014036 	 0
